dataset,partition,runs,3d_mean_mm_mean,3d_mean_mm_std_population,3d_rmse_mm_mean,3d_rmse_mm_std_population,2d_mean_px_mean,2d_mean_px_std_population,2d_rmse_px_mean,2d_rmse_px_std_population,psnr_db_mean,psnr_db_std_population,ssim_mean,ssim_std_population,lpips_alex_mean,lpips_alex_std_population
grasp5,reconstruction_7to1_within_train80,3,10.783985480781139,1.285147705322617,12.16641224714379,1.1815052574438676,26.115982069571814,0.19335157378238493,38.6078811999887,0.2911575073289359,28.30705668606501,0.01485482259284837,0.8843927148867535,0.0005995286478002674,0.2712597380288773,0.0007969844379612949
grasp5,future_80to20,3,10.481660275955393,1.2981402213766366,11.814151852820979,1.1911395856180378,21.804676145635625,0.03533352966782212,24.249654084777777,0.11767712122840623,26.700453079904566,0.06871725898783174,0.8355848421515137,0.0010412674196864276,0.28825486499678205,0.0019156253358727012
grasp3,reconstruction_7to1_within_train80,3,5.9591967130646,0.8312719859412045,8.011197202297229,1.1670276795537928,27.186791565922636,0.6904318526155913,37.93876734625604,1.1282260396310595,28.286414900150564,0.010466494449585851,0.8829061140376782,4.89356818439007e-05,0.2680684694969328,0.0009950193614603902
grasp3,future_80to20,3,5.19264900182007,0.9052008484161915,7.0734417370600875,1.2072630688270398,19.14251969583107,0.3758781499021077,20.546219315146967,0.0847926016011691,27.029102405747633,0.047704568538292635,0.8493878770682771,0.001928566278323343,0.289100798341514,0.0013100645376219625
grasp1,reconstruction_7to1_within_train80,3,6.566716764367205,1.0707503999225558,7.522577091394329,1.168710612599706,28.48964692577202,0.5072465012799807,43.368919009081715,0.5565700059943675,28.341646291548866,0.02313464854499311,0.8840607136181206,0.0003185665404948701,0.2758731505791535,0.001173744114515758
grasp1,future_80to20,3,6.182906843560328,0.9839342107338499,6.996553060332132,1.1354375924816316,35.867528610081635,0.42114364677212207,39.21788593539251,0.3529343579030297,27.40129915111805,0.055620749398075896,0.8511501791408219,0.0017928703805116554,0.28380968697218495,0.0006140726111619099
