run,protocol,method,tracking_3d_mm,tracking_2d_px,psnr_db,ssim,lpips_alex
run1,reconstruction_7to1,pure_pbd,1.5547153193516092,26.909597217312882,22.544835898985614,0.7781882544358572,0.4739644815524419
run1,reconstruction_7to1,pbd_alltracker_depth_rgb_residual,0.8922250023793562,11.981951573001487,22.369504678041928,0.782041096025043,0.47743775496880214
run1,reconstruction_7to1,pbd_alltracker_depth_rgb_residual_online_stiffness,0.8435359242659095,10.5056308309521,22.30812908335837,0.7803023623095618,0.4772967118355963
run1,future_80to20,pure_pbd,1.6691195153285778,27.585643933665366,21.877307268526383,0.7505827508866787,0.4770361619691054
run1,future_80to20,pbd_alltracker_depth_rgb_residual,1.3656902896811165,18.23467057203093,21.4231140513165,0.7434731036838558,0.4842589535853929
run1,future_80to20,pbd_alltracker_depth_rgb_residual_online_stiffness,0.8461280198506785,11.365064947210973,21.74000156313464,0.7562658975107802,0.47061997693445945
run2,reconstruction_7to1,pure_pbd,1.5660786081779017,27.086125253364443,22.53334083616628,0.7781437519523833,0.47440036568376753
run2,reconstruction_7to1,pbd_alltracker_depth_rgb_residual,0.9807008083901435,13.480740581793444,22.3397039818564,0.7800046477052901,0.4776970856719547
run2,reconstruction_7to1,pbd_alltracker_depth_rgb_residual_online_stiffness,0.878039231247385,12.757176236765725,22.293505708686755,0.7812571210993661,0.47754614998896916
run2,future_80to20,pure_pbd,1.8121750893882447,29.32765250282903,21.824919767992558,0.7494441146651903,0.47893118185715544
run2,future_80to20,pbd_alltracker_depth_rgb_residual,1.4045067281732637,18.42883755660826,21.406812999938538,0.744812566993965,0.4855083686610063
run2,future_80to20,pbd_alltracker_depth_rgb_residual_online_stiffness,0.8269615395552283,11.159801679368941,21.854798305663262,0.7606081327216493,0.46784512067420614
run3,reconstruction_7to1,pure_pbd,1.588765757769579,27.30971818551421,22.521801566599507,0.7778216759363811,0.4749159559607506
run3,reconstruction_7to1,pbd_alltracker_depth_rgb_residual,0.8578879356355174,12.402339443543127,22.20726390739213,0.7785202460156546,0.47884131355418097
run3,reconstruction_7to1,pbd_alltracker_depth_rgb_residual_online_stiffness,0.9157039930141764,12.420756197678191,22.35023636024022,0.780696486764484,0.4780361587802569
run3,future_80to20,pure_pbd,1.8397031112521467,29.49339704667368,21.81113229092585,0.7486348868244224,0.4803823158144951
run3,future_80to20,pbd_alltracker_depth_rgb_residual,1.080577751582173,14.787060105992902,21.60754633382323,0.7492746203723881,0.4760845482556356
run3,future_80to20,pbd_alltracker_depth_rgb_residual_online_stiffness,1.0466700370494848,13.17130856432261,21.594788264316268,0.7512143243932061,0.47685620033492643
