protocol,observation_schedule,method,run_count,statistic,tracking_3d_mm,tracking_3d_mm_std,tracking_2d_px,tracking_2d_px_std,psnr_db,psnr_db_std,ssim,ssim_std,lpips_alex,lpips_alex_std
reconstruction_7to1,f1_full_0_1439,pure_pbd,1,single,1.5646330993019677,,27.167849447344032,,22.577172417126235,,0.7792583968904283,,0.4714891112513012,
reconstruction_7to1,f1_full_0_1439,pbd_alltracker_depth_rgb_residual,1,single,0.8874578600807581,,11.515281098123108,,22.32747505024577,,0.7845306684573491,,0.47621019581953683,
reconstruction_7to1,f1_full_0_1439,pbd_alltracker_depth_rgb_residual_online_stiffness,1,single,0.8308146020031667,,10.906776078811713,,22.42417474007472,,0.7849136408832338,,0.47571563969055813,
future_80to20,f2_train_0_1150,pure_pbd,3,mean_sample_std,1.77366590532299,0.09158006738686437,28.802231161056028,1.0568496462795152,21.837786442481598,0.03491339856577862,0.7495539174587638,0.0009785632791827195,0.47878321988025196,0.0016779767427502969
future_80to20,f2_train_0_1150,pbd_alltracker_depth_rgb_residual,3,mean_sample_std,1.2835915898121844,0.17688313333657502,17.15018941154403,2.048831445126925,21.479157795026087,0.11148606971211882,0.7458534303500697,0.0030375889067467397,0.48195062350067824,0.0051184361472200735
future_80to20,f2_train_0_1150,pbd_alltracker_depth_rgb_residual_online_stiffness,3,mean_sample_std,0.9065865321517972,0.12169379503509747,11.898725063634174,1.1068580879903356,21.729862711038056,0.13030119969399268,0.7560294515418785,0.004701365626074984,0.47177376598119736,0.004615009321360139
