dataset,partition,3d_mean_mm,3d_rmse_mm,2d_mean_px,2d_rmse_px,psnr_db,ssim,lpips_alex
grasp5,Reconstruction 7:1,41148.39744818063,44615.403703742246,87510.37166927008,485497.9496452776,9.005889835949015,0.006247103860476745,0.8421078132534469
grasp5,Future 80:20,55991.09140006445,56429.86870060795,18685.905057911204,48793.753882745,9.02299069234069,0.0024798682603027877,0.8379929090539614
grasp3,Reconstruction 7:1,22242.981601423686,25730.193135911686,8198.31935444181,10199.638801179291,9.049538985581357,0.004915604959489499,0.8374215390371239
grasp3,Future 80:20,46620.25397040627,46695.75655032072,4561.292024739583,4570.858794262825,9.03129040106814,0.0024832226138688245,0.8392051227444887
grasp1,Reconstruction 7:1,,,,,9.109305986674462,0.002959551077493874,0.8469883165752142
grasp1,Future 80:20,,,,,9.169310822109706,0.002508040976862331,0.8400217684497447
